Class,Type,Rocket Motors,Total Impulse,Name,Altitude,Altimeters (include GPS model if > 30K),Date,Location,GPS URL,Image URL,Altimeter URL,Notes,Historical
Complex,Clustered,F25 / F10,160,Douglas Gamber,"7,672",Adept Alt-S1,10/27/2002,,,,,,
Complex,Clustered,G118 / G118,318,Sean Serell,"9,200",MissleWorks RRC2,8/1/2009,,,,,,
Complex,Clustered,G25x2 / F50,320,Mark Herdon,"2,348",Adept Alt05-50K,4/8/2000,,,,,,
Complex,Clustered,I435 / I284,1172,Mike Brest,"18,408",R-Das,9/26/2003,,,,,,
Complex,Clustered,J415 /J570x3,4460,Dirk & Erik Gates,"8,130",Blacksky AltAcc2A,10/14/2000,,,,,,
Complex,Clustered,K550x5 / K185x2,11500,Mark Canepa,"10,896",Olsen Electronics M2,10/15/2000,,,,,,
Complex,Clustered,N2500 / N2000,27766,Adrian Carbine,"40,098",Adept Alts60K,9/24/2005,,,,,,
Complex,Clustered,M1315x3 / M1939,29440,Tom Rouse,"25,406","G-Wiz, RDAS",8/25/2001,,,,,,
Complex,Multi-Stage,H399 / I204,630,Evan Brown,"15,101",Raven-3,6/24/2017,"URRG, Potter, NY",,"http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/evan-brown/Do-15.jpg,http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/evan-brown/Do-16.jpg,http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/evan-brown/Do-16a.jpg",,"
Rocket launched at Upstate Research Rocketry Festival in Potter, NY (home of several LDRS events).  You can read up on construction and other discussion at http://www.rocketryforum.com/showthread.php?134626-Going-for-100-000-Feet, Video here: https://www.facebook.com/eeeebeeee/videos/10207014261635349/",
Complex,Multi-Stage,K250 / I132,3150,Mark Jeghers,"23,689",Adept RAS2,9/13/1998,,,,,,
Complex,Multi-Stage,J570 / J570,2120,Kurt Gugisberg,"24,232",Perfectflite MAWD,9/15/2007,"Blackrock, Nevada",,http://www.realflightsystems.com/techpubs/data/TRA-Records/other/Kurt-Gugisberg-J570-to-J570-Sept-2007.jpg,,,
Complex,Multi-Stage,K700 / K250,4884,Kurt Gugisberg,"33,121",Adept Alt-S2,9/22/2006,"Blackrock, Nevada",,http://www.realflightsystems.com/techpubs/data/TRA-Records/other/K700-to-K250-Sept-2006.jpg,,,
Complex,Multi-Stage,L1000/K375,4942,Kurt Gugisberg,"32,958","Beeline GPS, Raven 3",9/17/2016,"Blackrock Desert, Nevada",http://www.realflightsystems.com/techpubs/data/TRA-Records/other/Kurt_Punisher2-L1000-to-K375-XPRS2016.kml,"http://www.realflightsystems.com/techpubs/data/TRA-Records/other/Kurt-Gugisberg-Punisher-2.0-2.jpg,
http://www.realflightsystems.com/techpubs/data/TRA-Records/other/Kurt-Gugisberg-Punisher-2.0-1.jpg",http://www.realflightsystems.com/techpubs/data/TRA-Records/other/Kurt_Punisher2-L1000-to-K375-XPRS2016.FIPa,,
Complex,Multi-Stage,M1315 / K250,9264,John Rockdale,"44,961",R-Das,6/19/2004,,,,,,
Complex,Multi-Stage,M1315 / K250,8960,Craig Snyder,"34,988",R-DAS,10/6/2001,,,,,,
Complex,Multi-Stage,N2500 / M745,19001,Jim Jarvis,"73,657",Beeline GPS,7/21/2013,"LDRS32, Blackrock, Nevada",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/NM_Jarvis_7-2013.jpg,,"Special mention goes to Tony Alcocer, without his efforts to recover the sustainer by climbing Elephants Back mountain in oppressive conditions
See also: https://www.youtube.com/watch?v=j2Q1TeNx6SI",
Complex,Multi-Stage,N3180 / M1400,20451,Terry Lee,"24,774","Telemetrum, RMCS, RRC2, Raven",9/4/2011,"Argonia, KS",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/NM_Lee_9-2011.jpg,,Both motors were CTI,
Complex,Multi-Stage,N5800 / N1100,34151,Jim Jarvis,"118,632",Beeline GPS,9/20/2013,"BALLS, Blackrock, Nevada",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/Jarvis_StagedO_20130920.jpg,,See also the Youtube video: https://youtu.be/mWOicBydGzc,
Complex,Multi-Stage,N4000/N2000/M650,35537,Adrian Carbine,"57,757",Beeline GPS,10/2/2009,,,,,,